"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"1";"Brasil";"Total";"Total";"162951495";"78066714";"84884781";"151547694";"72201119";"79346575";"11403801";"5865595";"5538206"
"1";"Brasil";"Total";"15 a 19 anos";"14375942";"7317515";"7058427";"14154728";"7168334";"6986394";"221214";"149181";"72033"
"1";"Brasil";"Total";"20 a 24 anos";"15466463";"7767306";"7699157";"15228462";"7609556";"7618906";"238001";"157750";"80251"
"1";"Brasil";"Total";"25 a 34 anos";"30942840";"15164743";"15778097";"30335251";"14766401";"15568850";"607589";"398342";"209247"
"1";"Brasil";"Total";"35 a 44 anos";"32244961";"15608392";"16636569";"30919544";"14799556";"16119988";"1325417";"808836";"516581"
"1";"Brasil";"Total";"45 a 54 anos";"26238693";"12563500";"13675193";"24184186";"11401234";"12782952";"2054507";"1162266";"892241"
"1";"Brasil";"Total";"55 a 64 anos";"21513495";"10025339";"11488156";"19046263";"8768805";"10277458";"2467232";"1256534";"1210698"
"1";"Brasil";"Total";"65 anos ou mais";"22169101";"9619919";"12549182";"17679260";"7687233";"9992027";"4489841";"1932686";"2557155"
"1";"Brasil";"Branca";"Total";"71323919";"33185762";"38138157";"68230928";"31687364";"36543564";"3092991";"1498398";"1594593"
"1";"Brasil";"Branca";"15 a 19 anos";"5610575";"2796168";"2814407";"5545534";"2754538";"2790996";"65041";"41630";"23411"
"1";"Brasil";"Branca";"20 a 24 anos";"6076604";"2993920";"3082684";"6008699";"2951558";"3057141";"67905";"42362";"25543"
"1";"Brasil";"Branca";"25 a 34 anos";"12557978";"6057607";"6500371";"12401488";"5960032";"6441456";"156490";"97575";"58915"
"1";"Brasil";"Branca";"35 a 44 anos";"13552562";"6382510";"7170052";"13252564";"6203202";"7049362";"299998";"179308";"120690"
"1";"Brasil";"Branca";"45 a 54 anos";"11486257";"5331242";"6155015";"11008782";"5066710";"5942072";"477475";"264532";"212943"
"1";"Brasil";"Branca";"55 a 64 anos";"10294372";"4699117";"5595255";"9683097";"4393064";"5290033";"611275";"306053";"305222"
"1";"Brasil";"Branca";"65 anos ou mais";"11745571";"4925198";"6820373";"10330764";"4358260";"5972504";"1414807";"566938";"847869"
"1";"Brasil";"Preta";"Total";"17724520";"9010965";"8713555";"15927141";"8044704";"7882437";"1797379";"966261";"831118"
"1";"Brasil";"Preta";"15 a 19 anos";"1403059";"741701";"661358";"1377965";"723761";"654204";"25094";"17940";"7154"
