"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Ano x Sexo x Cor ou raça"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";;;;;;"Homens";;;;;;"Mulheres"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"1";"Brasil";"Total";"93,00";"95,66";"89,86";"97,51";"91,20";"83,94";"92,49";"95,48";"89,28";"97,54";"90,51";"85,13";"93,48";"95,82";"90,46";"97,48";"91,86";"82,78"
"1";"Brasil";"15 a 19 anos";"98,46";"98,84";"98,21";"99,11";"98,30";"93,46";"97,96";"98,51";"97,58";"98,87";"97,69";"93,46";"98,98";"99,17";"98,92";"99,33";"98,93";"93,47"
"1";"Brasil";"20 a 24 anos";"98,46";"98,88";"98,23";"99,05";"98,24";"93,48";"97,97";"98,59";"97,61";"98,77";"97,63";"93,61";"98,96";"99,17";"98,92";"99,31";"98,87";"93,36"
"1";"Brasil";"25 a 34 anos";"98,04";"98,75";"97,60";"98,76";"97,59";"92,10";"97,37";"98,39";"96,78";"98,52";"96,72";"92,37";"98,67";"99,09";"98,50";"98,97";"98,43";"91,84"
"1";"Brasil";"35 a 44 anos";"95,89";"97,79";"94,48";"98,30";"94,57";"86,11";"94,82";"97,19";"93,10";"98,09";"93,21";"87,18";"96,89";"98,32";"95,96";"98,48";"95,86";"85,06"
"1";"Brasil";"45 a 54 anos";"92,17";"95,84";"88,73";"97,39";"89,48";"78,18";"90,75";"95,04";"86,94";"97,26";"87,74";"79,41";"93,48";"96,54";"90,63";"97,51";"91,11";"76,98"
"1";"Brasil";"55 a 64 anos";"88,53";"94,06";"81,68";"96,82";"83,87";"70,03";"87,47";"93,49";"80,18";"96,83";"82,60";"71,38";"89,46";"94,54";"83,11";"96,81";"85,00";"68,78"
"1";"Brasil";"65 anos ou mais";"79,75";"87,95";"67,05";"95,97";"70,96";"53,79";"79,91";"88,49";"66,97";"96,49";"71,47";"56,91";"79,62";"87,57";"67,12";"95,55";"70,54";"51,27"
"1";"Norte";"Total";"91,84";"93,98";"88,56";"95,46";"92,03";"81,93";"90,99";"93,42";"87,62";"95,17";"91,07";"84,25";"92,67";"94,48";"89,72";"95,69";"92,95";"79,57"
"1";"Norte";"15 a 19 anos";"97,77";"98,31";"97,82";"98,84";"98,00";"90,80";"97,19";"97,84";"97,19";"98,79";"97,36";"91,11";"98,37";"98,76";"98,59";"98,88";"98,67";"90,48"
